Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",65.000000,-52.000000,0.000000,top
"C2","100nF","C_0805_2012Metric",85.000000,-52.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",65.000000,-68.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",85.000000,-68.000000,0.000000,top
"C5","100nF","C_0805_2012Metric",75.000000,-48.000000,0.000000,top
"C6","100nF","C_0805_2012Metric",75.000000,-72.000000,0.000000,top
"C9","18pF","C_0603_1608Metric",60.000000,-58.000000,0.000000,top
"C10","18pF","C_0603_1608Metric",60.000000,-62.000000,0.000000,top
"C11","100nF","C_0805_2012Metric",38.000000,-29.000000,0.000000,top
"C12","100nF","C_0805_2012Metric",38.000000,-54.000000,0.000000,top
"C13","100nF","C_0805_2012Metric",38.000000,-79.000000,0.000000,top
"D1","SMBJ36CA_TVS","D_SMB",40.000000,-20.000000,0.000000,top
"D2","1000V_1A_Flyback","D_SMA",100.000000,-90.000000,0.000000,top
"D3","1000V_1A_Flyback","D_SMA",115.000000,-90.000000,0.000000,top
"D4","1000V_1A_Flyback","D_SMA",130.000000,-90.000000,0.000000,top
"D5","1000V_1A_Flyback","D_SMA",145.000000,-90.000000,0.000000,top
"D6","TVS_CAN","D_SMA",25.000000,-41.000000,0.000000,top
"D7","TVS_CAN","D_SMA",25.000000,-66.000000,0.000000,top
"D8","TVS_CAN","D_SMA",25.000000,-91.000000,0.000000,top
"J1","Contactor_Outputs_8P","Molex_Mini-Fit_Jr_5566-08A_2x04_P4.20mm_Vertical",125.000000,-102.000000,0.000000,top
"J2","CAN_Harness_12P","Molex_Micro-Fit_3.0_43045-1200_2x06_P3.00mm_Horizontal",16.000000,-60.000000,90.000000,top
"J3","isoSPI_PortA","Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal",152.000000,-30.000000,-90.000000,top
"J4","isoSPI_PortB","Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal",152.000000,-50.000000,-90.000000,top
"R1","1M0_500V","R_1206_3216Metric",50.000000,-100.000000,0.000000,top
"R2","1M0_500V","R_1206_3216Metric",58.000000,-100.000000,0.000000,top
"R3","1M0_500V","R_1206_3216Metric",70.000000,-100.000000,0.000000,top
"R4","1M0_500V","R_1206_3216Metric",78.000000,-100.000000,0.000000,top
"R5","120R","R_0805_2012Metric",22.000000,-35.000000,0.000000,top
"R6","120R","R_0805_2012Metric",22.000000,-60.000000,0.000000,top
"R7","120R","R_0805_2012Metric",22.000000,-85.000000,0.000000,top
"T1","HM2101NL_PortA","SOIC-16_3.9x9.9mm_P1.27mm",125.000000,-30.000000,0.000000,top
"T2","HM2101NL_PortB","SOIC-16_3.9x9.9mm_P1.27mm",125.000000,-50.000000,0.000000,top
"U1","STM32G474RET6","LQFP-64_10x10mm_P0.5mm",75.000000,-60.000000,0.000000,top
"U2","LTC6820_PortA","SOIC-16_3.9x9.9mm_P1.27mm",100.000000,-30.000000,0.000000,top
"U3","LTC6820_PortB","SOIC-16_3.9x9.9mm_P1.27mm",100.000000,-50.000000,0.000000,top
"U4","TCAN1042_CAN1_Vehicle","SOIC-8_3.9x4.9mm_P1.27mm",30.000000,-35.000000,0.000000,top
"U5","TCAN1042_CAN2_IVTS","SOIC-8_3.9x4.9mm_P1.27mm",30.000000,-60.000000,0.000000,top
"U6","TCAN1042_CAN3_Charger","SOIC-8_3.9x4.9mm_P1.27mm",30.000000,-85.000000,0.000000,top
"U7","TPS274C_MainPos","SOIC-8_3.9x4.9mm_P1.27mm",100.000000,-80.000000,0.000000,top
"U8","TPS274C_MainNeg","SOIC-8_3.9x4.9mm_P1.27mm",115.000000,-80.000000,0.000000,top
"U9","TPS274C_Precharge","SOIC-8_3.9x4.9mm_P1.27mm",130.000000,-80.000000,0.000000,top
"U10","TPS274C_PWM_Fan","SOIC-8_3.9x4.9mm_P1.27mm",145.000000,-80.000000,0.000000,top
"U11","VO14642_IMD_Pos","SOIC-8_3.9x4.9mm_P1.27mm",55.000000,-90.000000,0.000000,top
"U12","VO14642_IMD_Neg","SOIC-8_3.9x4.9mm_P1.27mm",75.000000,-90.000000,0.000000,top
"U13","LM5164_12V_Buck","SOIC-8_3.9x4.9mm_P1.27mm",50.000000,-30.000000,0.000000,top
"U14","TLV70233_LDO","SOT-23",65.000000,-30.000000,0.000000,top
"Y1","8.000MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",65.000000,-60.000000,0.000000,top
